LISTING_NEIGHBOURHOOD,YEAR_MONTH,ACTIVE_LISTING_RATE,MIN_PRICE,MAX_PRICE,MED_PRICE,AVG_PRICE,DISTINCT_HOST_ID,SUPERHOST_RATE,AVG_REVIEW_SCORE,ACTIVE_PCT_CHANGE,INACTIVE_PCT_CHANGE,TOTAL_NUM_STAY,AVG_EST_PRICE
BAYSIDE,2021-02-01,99.730600,15,2904,80.000,124.646860,646,13.467500,91.867391,-1.594700,,28911,2424.350439
BAYSIDE,2021-03-01,99.655900,15,2904,80.000,126.771409,644,13.354000,91.987805,-2.162200,66.666700,29460,2617.342541
BAYSIDE,2021-04-01,99.164300,15,2904,80.000,120.045646,627,13.237600,92.248853,-1.589500,200.000000,28947,2492.330056
CAMPBELLTOWN,2021-02-01,99.065400,20,10000,83.000,268.150943,1,100.000000,90.384615,3.921600,,1778,3392.990566
CAMPBELLTOWN,2021-03-01,99.065400,22,10000,82.000,264.981132,1,100.000000,90.716049,0.952400,,2093,3458.377358
CAMPBELLTOWN,2021-04-01,99.056600,25,760,83.000,130.257143,1,100.000000,90.716049,0.000000,,1930,2231.000000
CANADA BAY,2021-02-01,99.736800,25,3300,100.000,153.332454,191,5.759200,92.754098,-0.263200,,7986,3225.253298
CANADA BAY,2021-03-01,99.736100,21,3300,100.000,154.648148,190,5.263200,92.758333,0.000000,,8410,3467.674603
CANADA BAY,2021-04-01,99.466700,25,3300,109.000,158.734584,186,5.914000,93.695652,-1.061000,,7795,3306.726542
CANTERBURY-BANKSTOWN,2021-02-01,99.496600,13,2261,70.000,105.172007,242,10.330600,91.356941,-0.168400,,9534,1694.671164
CANTERBURY-BANKSTOWN,2021-03-01,99.488100,13,1000,70.000,99.000000,238,10.924400,91.280000,-1.520300,50.000000,9750,1570.682676
CANTERBURY-BANKSTOWN,2021-04-01,98.960100,13,851,70.000,96.070053,240,10.833300,91.334320,-1.890000,200.000000,9206,1447.059545
CUMBERLAND,2021-02-01,99.783500,15,15000,98.000,182.876356,75,8.000000,90.270769,1.766000,,8704,3896.099783
CUMBERLAND,2021-03-01,99.788100,15,15000,95.000,181.386412,73,6.849300,90.391437,2.391300,,9918,4155.116773
CUMBERLAND,2021-04-01,99.099100,15,15000,100.000,191.097727,69,5.797100,91.483444,-6.383000,,8713,4162.993182
GEORGES RIVER,2021-02-01,99.746800,21,1750,70.000,109.474619,167,13.173700,90.987903,-0.755700,,7428,1887.956853
GEORGES RIVER,2021-03-01,99.744200,21,1750,70.000,109.694872,167,12.574900,91.524590,-0.763400,,7588,1945.176923
GEORGES RIVER,2021-04-01,98.143200,21,1750,70.000,113.248649,163,11.656400,92.299107,-4.884300,,6967,1841.932432
HORNSBY,2020-12-01,99.773200,20,1466,95.000,167.011364,12,25.000000,93.165217,5.011900,,8914,3593.104545
HORNSBY,2021-02-01,99.534900,20,1466,95.000,163.941589,13,23.076900,93.290909,-1.382500,,7326,2822.383178
HORNSBY,2021-03-01,99.529400,20,1466,95.000,162.217494,12,16.666700,92.987805,-0.936800,100.000000,7561,2910.144208
HORNSBY,2021-04-01,98.581600,20,1466,95.000,168.014388,12,8.333300,93.619048,-1.184800,500.000000,7196,2761.191847
INNER WEST,2021-01-01,99.954400,17,9021,100.000,161.335463,1330,11.954900,93.402314,-1.083500,,52777,3728.788225
INNER WEST,2021-04-01,99.481900,17,9021,100.000,162.979167,1286,12.208400,93.227882,-1.492500,,51027,3709.975852
LANE COVE,2021-04-01,99.633700,25,2000,108.500,203.805147,143,9.790200,91.356757,-3.202800,,5582,4823.452206
MOSMAN,2021-03-01,99.788600,30,4000,236.500,435.781780,233,10.300400,94.251724,-1.666700,,11138,9847.940678
MOSMAN,2021-04-01,99.349200,30,4000,237.000,440.137555,228,10.526300,94.126761,-2.760100,,11096,9947.024017
NORTH SYDNEY,2021-02-01,99.915900,26,14589,130.000,207.915825,613,12.234900,94.274463,-0.751900,,25850,4299.133838
NORTH SYDNEY,2021-03-01,99.915200,26,14589,130.000,209.094228,607,12.026400,94.262651,-0.758200,,26388,4492.197793
NORTH SYDNEY,2021-04-01,99.831100,26,14589,135.000,211.380711,593,12.647600,94.295400,0.424800,,27185,4433.748731
NORTHERN BEACHES,2020-12-01,99.959100,20,10000,214.000,396.816397,1201,17.235600,95.037271,2.665800,,122251,9548.835208
NORTHERN BEACHES,2021-01-01,99.979400,20,10000,206.000,395.611352,1187,16.933400,94.985697,-0.920200,0.000000,111728,8548.670795
NORTHERN BEACHES,2021-02-01,99.958400,20,10000,200.000,370.206990,1171,16.652400,95.015058,-0.763800,,106711,7776.182442
NORTHERN BEACHES,2021-03-01,99.958100,20,10000,200.000,369.317886,1156,16.522500,95.045299,-0.769900,100.000000,107704,7837.308660
NORTHERN BEACHES,2021-04-01,99.681700,20,10000,200.000,379.173941,1142,16.549900,95.178673,-1.489100,1400.000000,105926,7925.533745
PARRAMATTA,2021-02-01,99.635700,20,3000,78.000,106.552102,16,12.500000,90.227666,-0.905800,,9356,1603.650823
PARRAMATTA,2021-03-01,99.249500,20,3000,78.000,107.338374,16,12.500000,90.323263,-3.113600,300.000000,9506,1659.432892
PARRAMATTA,2021-04-01,98.640800,20,3000,79.000,112.218504,17,23.529400,90.332268,-3.787900,133.333300,9108,1713.966535
PENRITH,2021-02-01,99.393900,24,1832,120.000,182.493902,6,33.333300,94.855856,-2.381000,,2371,3223.530488
PENRITH,2021-03-01,99.390200,24,2295,120.000,207.116564,6,33.333300,94.651786,0.000000,,2494,3524.104294
PENRITH,2021-04-01,98.809500,24,2180,120.000,173.921687,6,33.333300,94.734513,2.469100,,2527,2719.843373
RANDWICK,2021-02-01,99.705600,15,10000,110.000,188.196522,1593,7.784100,92.077623,0.329200,,71866,4207.572507
RANDWICK,2021-03-01,99.668200,15,10000,109.000,187.215379,1577,7.736200,92.061889,-1.411200,25.000000,71928,4152.358189
RANDWICK,2021-04-01,99.498200,15,10000,107.000,187.865837,1570,7.643300,92.073198,-0.965700,66.666700,71459,4154.987895
RYDE,2021-04-01,99.819800,15,5000,85.000,116.642599,48,16.666700,92.844327,-4.647200,,11427,2499.667870
STRATHFIELD,2021-04-01,99.435000,20,4567,70.000,132.272727,84,7.142900,89.226087,-1.676000,,2998,1466.840909
SUTHERLAND SHIRE,2021-04-01,99.408300,24,2143,150.000,232.238095,103,19.417500,95.687339,-1.176500,,10374,4635.011905
SYDNEY,2021-02-01,99.913200,11,23571,120.000,188.773877,3822,12.663500,92.534263,-1.043300,,185636,4020.352394
SYDNEY,2021-03-01,99.823900,11,22500,120.000,192.139473,3787,12.595700,92.514409,-1.538300,133.333300,184575,4200.619882
SYDNEY,2021-04-01,99.588300,11,14315,120.000,181.645653,3719,12.395800,92.559201,-2.457200,146.153800,185407,4124.522801
WAVERLEY,2020-12-01,99.979300,5,10000,150.000,255.982376,2765,7.088600,94.108795,1.451400,,123591,6196.246942
WAVERLEY,2021-01-01,99.958300,5,10000,150.000,250.156908,2731,6.993800,94.114276,-0.477000,,121599,6022.882059
WAVERLEY,2021-02-01,99.915900,5,10000,150.000,248.609931,2718,6.953600,94.068348,-0.937900,300.000000,119294,5968.238586
WAVERLEY,2021-03-01,99.914900,5,10000,150.000,242.801236,2682,6.823300,94.127868,-1.220500,33.333300,118259,5797.361099
WAVERLEY,2021-04-01,99.632200,5,10000,150.000,243.191097,2635,6.869100,94.033425,-1.875100,466.666700,116133,5859.922258
WILLOUGHBY,2021-02-01,99.789500,24,14568,110.000,211.238397,245,9.795900,92.339683,-2.669400,,9485,4753.761603
WILLOUGHBY,2021-03-01,99.790400,24,14568,110.000,212.936975,244,9.836100,92.297806,0.634200,,9768,4894.283613
WILLOUGHBY,2021-04-01,99.787200,24,14568,110.000,218.228145,242,9.917400,92.295082,-1.263200,,9629,4968.605544
WOOLLAHRA,2021-02-01,99.926400,25,28613,155.000,339.385862,798,8.646600,93.791183,-0.512800,,31755,7003.356406
WOOLLAHRA,2021-04-01,99.771300,25,28613,152.000,361.994652,766,8.616200,93.930403,-2.748900,,31858,7505.017571
